time_offset_s,frame_len,src_ip,dst_ip,src_port,dst_port,sfu_direction_from_sfu,media_type_byte,media_type_label,media_sequence,media_timestamp,frame_seq,frame_pkt_count,is_active_media_signal
9.473858,165,10.184.24.3,206.247.138.4,50040,8801,,1,other,21084,2859596328,0,0,false
9.473911,165,10.184.24.3,206.247.138.4,50147,8801,,1,other,56775,2330996685,0,0,false
9.579933,165,10.184.24.3,206.247.138.4,50040,8801,,1,other,21084,2859596328,0,0,false
9.580022,165,10.184.24.3,206.247.138.4,50147,8801,,1,other,56775,2330996685,0,0,false
9.679452,165,10.184.24.3,206.247.138.4,60443,8801,,1,other,36042,2832941833,0,0,false
9.679546,165,10.184.24.3,206.247.138.4,45962,8801,,1,other,22436,2182079926,0,0,false
9.724449,86,206.247.138.4,10.184.24.3,8801,50040,,2,other,21084,2859596328,52119,0,false
9.724791,86,206.247.138.4,10.184.24.3,8801,50147,,2,other,56775,2330996685,52120,0,false
9.724916,229,10.184.24.3,206.247.138.4,50040,8801,false,12,other,60589,3727948187,259,0,false
9.724935,119,10.184.24.3,206.247.138.4,50147,8801,,7,other,261,1074351947,15816,189,false
9.735965,229,10.184.24.3,206.247.138.4,50040,8801,false,12,other,60589,3727948187,259,0,false
9.753537,167,10.184.24.3,206.247.138.4,52019,8801,,1,other,49693,1030762627,0,0,false
9.753580,167,10.184.24.3,206.247.138.4,51667,8801,,1,other,31375,3488343149,0,0,false
9.756984,167,10.184.24.3,206.247.138.4,47915,8801,,1,other,14000,2808078950,0,0,false
9.757024,167,10.184.24.3,206.247.138.4,47824,8801,,1,other,31497,880417487,0,0,false
9.757066,165,10.184.24.3,206.247.138.4,35579,8801,,1,other,37710,1573592422,0,0,false
9.757133,165,10.184.24.3,206.247.138.4,60515,8801,,1,other,5875,805734667,0,0,false
9.779152,165,10.184.24.3,206.247.138.4,60443,8801,,1,other,36042,2832941833,0,0,false
